release_date,release_date,cpi_value
1982-04-23,1982-04-23,94.7
1982-05-21,1982-05-21,95.0
1982-06-22,1982-06-22,95.9
1982-07-23,1982-07-23,97.0
1982-08-24,1982-08-24,97.5
1982-09-23,1982-09-23,97.7
1982-10-26,1982-10-26,97.7
1982-11-23,1982-11-23,98.1
1982-12-21,1982-12-21,98.0
1983-01-21,1983-01-21,97.7
1983-02-25,1983-02-25,97.9
1983-03-23,1983-03-23,98.0
1983-04-22,1983-04-22,98.1
1983-05-24,1983-05-24,98.8
1983-06-22,1983-06-22,99.2
1983-07-22,1983-07-22,99.4
1983-08-23,1983-08-23,99.8
1983-09-23,1983-09-23,100.1
1983-10-25,1983-10-25,100.4
1983-11-23,1983-11-23,100.8
1983-12-21,1983-12-21,101.1
1984-01-24,1984-01-24,101.4
1984-02-24,1984-02-24,102.1
1984-03-23,1984-03-23,102.6
1984-04-24,1984-04-24,102.9
1984-05-22,1984-05-22,103.3
1984-06-22,1984-06-22,103.5
1984-07-24,1984-07-24,103.7
1984-08-22,1984-08-22,104.1
1984-09-21,1984-09-21,104.4
1984-10-24,1984-10-24,104.7
1984-11-21,1984-11-21,105.1
1984-12-20,1984-12-20,105.3
1985-01-23,1985-01-23,105.5
1985-02-26,1985-02-26,105.7
1985-03-22,1985-03-22,106.3
1985-04-23,1985-04-23,106.8
1985-05-21,1985-05-21,107.0
1985-06-20,1985-06-20,107.2
1985-07-23,1985-07-23,107.5
1985-08-22,1985-08-22,107.7
1985-09-24,1985-09-24,107.9
1985-10-23,1985-10-23,108.1
1985-11-22,1985-11-22,108.5
1985-12-20,1985-12-20,109.0
1986-01-22,1986-01-22,109.5
1986-02-25,1986-02-25,109.9
1986-03-25,1986-03-25,109.7
1986-04-22,1986-04-22,109.1
1986-05-21,1986-05-21,108.7
1986-06-20,1986-06-20,109.0
1986-07-23,1986-07-23,109.4
1986-08-21,1986-08-21,109.5
1986-09-23,1986-09-23,109.6
1986-10-23,1986-10-23,110.0
1986-11-25,1986-11-25,110.2
1986-12-19,1986-12-19,110.4
1987-01-21,1987-01-21,110.8
1987-02-27,1987-02-27,111.4
1987-03-27,1987-03-27,111.8
1987-04-24,1987-04-24,112.2
1987-05-22,1987-05-22,112.7
1987-06-23,1987-06-23,113.0
1987-07-22,1987-07-22,113.5
1987-08-21,1987-08-21,113.8
1987-09-23,1987-09-23,114.3
1987-10-23,1987-10-23,114.7
1987-11-20,1987-11-20,115.0
1987-12-18,1987-12-18,115.4
1988-01-20,1988-01-20,115.6
1988-02-26,1988-02-26,116.0
1988-03-23,1988-03-23,116.2
1988-04-20,1988-04-20,116.5
1988-05-20,1988-05-20,117.2
1988-06-21,1988-06-21,117.5
1988-07-22,1988-07-22,118.0
1988-08-23,1988-08-23,118.5
1988-09-21,1988-09-21,119.0
1988-10-21,1988-10-21,119.5
1988-11-22,1988-11-22,119.9
1988-12-20,1988-12-20,120.3
1989-01-19,1989-01-19,120.7
1989-02-22,1989-02-22,121.2
1989-03-21,1989-03-21,121.6
1989-04-18,1989-04-18,122.2
1989-05-18,1989-05-18,123.1
1989-06-16,1989-06-16,123.7
1989-07-19,1989-07-19,124.1
1989-08-18,1989-08-18,124.5
1989-09-19,1989-09-19,124.5
1989-10-19,1989-10-19,124.8
1989-11-21,1989-11-21,125.4
1989-12-19,1989-12-19,125.9
1990-01-18,1990-01-18,126.3
1990-02-21,1990-02-21,127.5
1990-03-20,1990-03-20,128.0
1990-04-17,1990-04-17,128.6
1990-05-16,1990-05-16,128.9
1990-06-15,1990-06-15,129.1
1990-07-18,1990-07-18,129.9
1990-08-16,1990-08-16,130.5
1990-09-18,1990-09-18,131.6
1990-10-18,1990-10-18,132.5
1990-11-16,1990-11-16,133.4
1990-12-18,1990-12-18,133.7
1991-01-16,1991-01-16,134.2
1991-02-20,1991-02-20,134.7
1991-03-19,1991-03-19,134.8
1991-04-12,1991-04-12,134.8
1991-05-14,1991-05-14,135.1
1991-06-14,1991-06-14,135.6
1991-07-17,1991-07-17,136.0
1991-08-14,1991-08-14,136.2
1991-09-13,1991-09-13,136.6
1991-10-17,1991-10-17,137.0
1991-11-14,1991-11-14,137.2
1991-12-13,1991-12-13,137.8
1992-01-16,1992-01-16,138.2
1992-02-19,1992-02-19,138.3
1992-03-17,1992-03-17,138.6
1992-04-10,1992-04-10,139.1
1992-05-13,1992-05-13,139.4
1992-06-12,1992-06-12,139.7
1992-07-14,1992-07-14,140.1
1992-08-13,1992-08-13,140.5
1992-09-15,1992-09-15,140.8
1992-10-15,1992-10-15,141.1
1992-11-13,1992-11-13,141.7
1992-12-13,1992-12-13,142.1
1993-01-15,1993-01-15,142.3
1993-02-18,1993-02-18,142.8
1993-03-17,1993-03-17,143.1
1993-04-09,1993-04-09,143.3
1993-05-13,1993-05-13,143.8
1993-06-15,1993-06-15,144.2
1993-07-14,1993-07-14,144.3
1993-08-13,1993-08-13,144.5
1993-09-14,1993-09-14,144.8
1993-10-15,1993-10-15,145.0
1993-11-10,1993-11-10,145.6
1993-12-10,1993-12-10,146.0
1994-01-13,1994-01-13,146.3
1994-02-17,1994-02-17,146.3
1994-03-16,1994-03-16,146.7
1994-04-13,1994-04-13,147.1
1994-05-13,1994-05-13,147.2
1994-06-14,1994-06-14,147.5
1994-07-13,1994-07-13,147.9
1994-08-12,1994-08-12,148.4
1994-09-13,1994-09-13,149.0
1994-10-14,1994-10-14,149.3
1994-11-16,1994-11-16,149.4
1994-12-14,1994-12-14,149.8
1995-01-11,1995-01-11,150.1
1995-02-15,1995-02-15,150.5
1995-03-16,1995-03-16,150.9
1995-04-12,1995-04-12,151.2
1995-05-12,1995-05-12,151.8
1995-06-13,1995-06-13,152.1
1995-07-14,1995-07-14,152.4
1995-08-11,1995-08-11,152.6
1995-09-13,1995-09-13,152.9
1995-10-13,1995-10-13,153.1
1995-11-15,1995-11-15,153.5
1995-12-14,1995-12-14,153.7
1996-02-01,1996-02-01,153.9
1996-03-15,1996-03-15,155.0
1996-04-12,1996-04-12,155.5
1996-05-14,1996-05-14,156.1
1996-06-12,1996-06-12,156.4
1996-07-16,1996-07-16,156.7
1996-08-13,1996-08-13,157.0
1996-09-13,1996-09-13,157.2
1996-10-16,1996-10-16,157.7
1996-11-14,1996-11-14,158.2
1996-12-12,1996-12-12,158.7
1997-01-14,1997-01-14,159.1
1997-02-19,1997-02-19,159.4
1997-03-19,1997-03-19,159.7
1997-04-15,1997-04-15,159.8
1997-05-15,1997-05-15,159.9
1997-06-17,1997-06-17,159.9
1997-07-16,1997-07-16,160.2
1997-08-14,1997-08-14,160.4
1997-09-16,1997-09-16,160.8
1997-10-16,1997-10-16,161.2
1997-11-18,1997-11-18,161.5
1997-12-16,1997-12-16,161.7
1998-01-13,1998-01-13,161.8
1998-02-24,1998-02-24,162.0
1998-03-19,1998-03-19,162.0
1998-04-14,1998-04-14,162.0
1998-05-14,1998-05-14,162.2
1998-06-16,1998-06-16,162.6
1998-07-14,1998-07-14,162.8
1998-08-18,1998-08-18,163.2
1998-09-17,1998-09-17,163.4
1998-10-16,1998-10-16,163.5
1998-11-17,1998-11-17,163.9
1998-12-15,1998-12-15,164.1
1999-01-14,1999-01-14,164.4
1999-02-19,1999-02-19,164.7
1999-03-18,1999-03-18,164.7
1999-04-13,1999-04-13,164.8
1999-05-14,1999-05-14,165.9
1999-06-16,1999-06-16,166.0
1999-07-15,1999-07-15,166.0
1999-08-17,1999-08-17,166.7
1999-09-15,1999-09-15,167.1
1999-10-19,1999-10-19,167.8
1999-11-17,1999-11-17,168.1
1999-12-14,1999-12-14,168.4
2000-01-14,2000-01-14,168.8
2000-02-18,2000-02-18,169.3
2000-03-17,2000-03-17,170.0
2000-04-14,2000-04-14,171.0
2000-05-16,2000-05-16,170.9
2000-06-14,2000-06-14,171.2
2000-07-18,2000-07-18,172.2
2000-08-16,2000-08-16,172.7
2000-09-15,2000-09-15,172.7
2000-10-18,2000-10-18,173.6
2000-11-16,2000-11-16,173.9
2000-12-15,2000-12-15,174.2
2001-01-17,2001-01-17,174.6
2001-02-21,2001-02-21,175.6
2001-03-21,2001-03-21,176.0
2001-04-17,2001-04-17,176.1
2001-05-16,2001-05-16,176.4
2001-06-15,2001-06-15,177.3
2001-07-18,2001-07-18,177.7
2001-08-16,2001-08-16,177.4
2001-09-18,2001-09-18,177.4
2001-10-19,2001-10-19,178.1
2001-11-16,2001-11-16,177.6
2001-12-14,2001-12-14,177.5
2002-01-16,2002-01-16,177.4
2002-02-20,2002-02-20,177.7
2002-03-21,2002-03-21,178.0
2002-04-16,2002-04-16,178.5
2002-05-15,2002-05-15,179.3
2002-06-18,2002-06-18,179.5
2002-07-19,2002-07-19,179.6
2002-08-16,2002-08-16,180.0
2002-09-18,2002-09-18,180.5
2002-10-18,2002-10-18,180.8
2002-11-19,2002-11-19,181.2
2002-12-17,2002-12-17,181.5
2003-01-16,2003-01-16,181.8
2003-02-21,2003-02-21,182.6
2003-03-21,2003-03-21,183.6
2003-04-16,2003-04-16,183.9
2003-05-16,2003-05-16,183.2
2003-06-17,2003-06-17,182.9
2003-07-16,2003-07-16,183.1
2003-08-15,2003-08-15,183.7
2003-09-16,2003-09-16,184.5
2003-10-16,2003-10-16,185.1
2003-11-18,2003-11-18,184.9
2003-12-16,2003-12-16,185.0
2004-01-15,2004-01-15,185.5
2004-02-20,2004-02-20,186.3
2004-03-17,2004-03-17,186.7
2004-04-14,2004-04-14,187.1
2004-05-14,2004-05-14,187.4
2004-06-15,2004-06-15,188.2
2004-07-16,2004-07-16,188.9
2004-08-17,2004-08-17,189.1
2004-09-16,2004-09-16,189.2
2004-10-19,2004-10-19,189.8
2004-11-17,2004-11-17,190.8
2004-12-17,2004-12-17,191.7
2005-01-19,2005-01-19,191.7
2005-02-18,2005-02-18,191.6
2005-03-23,2005-03-23,192.4
2005-04-20,2005-04-20,193.1
2005-05-18,2005-05-18,193.7
