,predicted,actual
2022-09-21,8.081224,
2022-09-22,8.081224,
2022-09-23,8.212907,
2022-09-24,8.212907,
2022-09-25,8.212907,
2022-09-26,8.198412,
2022-09-27,8.188513,
2022-09-28,8.188376,
2022-09-29,8.198354,
2022-09-30,8.194477,
2022-10-01,8.194477,
2022-10-02,8.194477,
2022-10-03,8.189178,
2022-10-04,8.188644,
2022-10-05,8.2057495,
2022-10-06,8.188644,
2022-10-07,8.188479,
2022-10-08,8.188479,
2022-10-09,8.188479,
2022-10-10,8.205585,
2022-10-11,8.204946,
2022-10-12,8.2052355,
2022-10-13,8.205825,8.205751582451754
2022-10-14,8.205246,
2022-10-15,8.205246,
2022-10-16,8.205246,
2022-10-17,8.206183,
2022-10-18,8.172003,
2022-10-19,8.208516,
2022-10-20,8.207279,
2022-10-21,8.208787,
2022-10-22,8.208787,
2022-10-23,8.208787,
2022-10-24,8.207673,
2022-10-25,8.17306,
2022-10-26,8.15576,
2022-10-27,8.155725,
2022-10-28,7.887606,
2022-10-29,7.887606,
2022-10-30,7.887606,
2022-10-31,7.888091,
2022-11-01,7.7126603,
2022-11-02,7.7571397,
2022-11-03,7.757982,
2022-11-04,7.757103,
2022-11-05,7.757103,
2022-11-06,7.757103,
2022-11-07,7.7128367,
2022-11-08,7.7571387,
2022-11-09,7.7571387,
2022-11-10,7.7571588,7.7572614708094525
2022-11-11,7.712868,
2022-11-12,7.712868,
2022-11-13,7.712868,
2022-11-14,7.71296,
2022-11-15,7.7575164,
2022-11-16,7.7574334,
2022-11-17,7.757343,
2022-11-18,7.7129426,
2022-11-19,7.7129426,
2022-11-20,7.7129426,
2022-11-21,7.7129426,
2022-11-22,7.7129426,
2022-11-23,7.7129426,
2022-11-24,7.7129426,
2022-11-25,7.7129426,
2022-11-26,7.7129426,
2022-11-27,7.7129426,
2022-11-28,7.7129426,
2022-11-29,7.757421,
2022-11-30,7.757421,
2022-12-01,7.092893,
2022-12-02,7.1372933,
2022-12-03,7.1372933,
2022-12-04,7.1372933,
2022-12-05,7.1373715,
2022-12-06,7.1373715,
2022-12-07,7.1372933,
2022-12-08,7.1372933,
2022-12-09,7.0528274,
2022-12-10,7.0528274,
2022-12-11,7.0528274,
2022-12-12,7.131561,
2022-12-13,7.1314816,7.131380368978285
2022-12-14,7.1314816,
2022-12-15,7.0640254,
2022-12-16,7.0750933,
2022-12-17,7.0750933,
2022-12-18,7.0750933,
2022-12-19,7.0750933,
2022-12-20,6.954997,
2022-12-21,6.9553595,
2022-12-22,6.9553595,
2022-12-23,6.945576,
2022-12-24,6.945576,
2022-12-25,6.945576,
2022-12-26,6.945576,
2022-12-27,6.7025104,
2022-12-28,6.7029166,
2022-12-29,6.7025104,
2022-12-30,6.7029743,
2022-12-31,6.7029743,
2023-01-01,6.7029743,
2023-01-02,6.7029743,
2023-01-03,6.6841893,
2023-01-04,6.685852,
2023-01-05,6.686126,
2023-01-06,6.6059337,
2023-01-07,6.6059337,
2023-01-08,6.6059337,
2023-01-09,6.6059337,
2023-01-10,6.5887694,
2023-01-11,6.410831,
2023-01-12,6.410753,6.410831677385814
2023-01-13,6.420684,
2023-01-14,6.420684,
2023-01-15,6.420684,
2023-01-16,6.420684,
2023-01-17,6.4107084,
2023-01-18,6.4551086,
2023-01-19,6.575205,
2023-01-20,6.54078,
2023-01-21,6.54078,
2023-01-22,6.54078,
2023-01-23,6.5563297,
2023-01-24,6.5613804,
2023-01-25,6.5614586,
2023-01-26,6.5618315,
2023-01-27,6.7031193,
2023-01-28,6.7031193,
2023-01-29,6.7031193,
2023-01-30,6.7475195,
2023-01-31,6.7475195,
2023-02-01,6.7031193,
2023-02-02,6.7031193,
2023-02-03,5.9525795,
2023-02-04,5.9525795,
